R	Gamma	E
2.80	80	-115.83544393727
2.80	85	-115.835506040353
2.80	90	-115.835568595248
2.80	95	-115.835630224792
2.80	100	-115.835685775651
2.80	105	-115.83572507819
2.80	110	-115.835731511805
2.80	115	-115.835680055668
2.80	120	-115.835534497612
2.80	125	-115.835244133818
2.80	130	-115.834741506998
2.80	135	-115.833943710063
2.80	140	-115.832760671556
2.80	145	-115.831118319836
2.80	150	-115.829000128258
2.80	155	-115.826481757971
2.80	160	-115.823723507105
2.80	165	-115.820952452373
2.80	170	-115.818482219663
2.80	175	-115.81672281429
2.80	180	-115.816077419144
2.90	0	-115.834207854472
2.90	5	-115.834228385365
2.90	10	-115.834287793332
2.90	15	-115.834380016301
2.90	20	-115.83449621363
2.90	25	-115.834626343851
2.90	30	-115.834760669312
2.90	35	-115.834890955761
2.90	40	-115.835011172552
2.90	45	-115.835117722414
2.90	50	-115.835209268958
2.90	55	-115.835286354819
2.90	60	-115.835350896884
2.90	65	-115.835405709111
2.90	70	-115.835454077159
2.90	75	-115.835499381749
2.90	80	-115.835544736138
2.90	85	-115.835592571043
2.90	90	-115.835644101737
2.90	95	-115.835698665514
2.90	100	-115.835752908617
2.90	105	-115.835799908475
2.90	110	-115.835828244467
2.90	115	-115.835820869895
2.90	120	-115.835753404326
2.90	125	-115.835591781971
2.90	130	-115.83529040347
2.90	135	-115.834793143884
2.90	140	-115.834039412978
2.90	145	-115.832978364334
2.90	150	-115.831595988152
2.90	155	-115.829946964817
2.90	160	-115.828159858508
2.90	165	-115.826409647551
2.90	170	-115.824899410907
2.90	175	-115.823855135177
2.90	180	-115.823478754126
3.00	0	-115.834768313864
3.00	5	-115.834780756496
3.00	10	-115.834816766915
3.00	15	-115.834872643464
3.00	20	-115.834943001107
3.00	25	-115.835021687002
3.00	30	-115.83510273057
3.00	35	-115.835181077531
3.00	40	-115.835253053609
3.00	45	-115.835316523133
3.00	50	-115.835370820122
3.00	55	-115.835416509007
3.00	60	-115.835455086345
3.00	65	-115.835488666083
3.00	70	-115.835519699926
3.00	75	-115.835550716473
3.00	80	-115.835584074118
3.00	85	-115.835621671706
3.00	90	-115.835664586528
3.00	95	-115.83571259976
3.00	100	-115.835763619327
3.00	105	-115.835813041337
3.00	110	-115.835853143796
3.00	115	-115.835872475069
3.00	120	-115.835854948783
3.00	125	-115.835778327379
3.00	130	-115.835612633975
3.00	135	-115.835320510159
3.00	140	-115.834861675199
3.00	145	-115.834202214834
3.00	150	-115.833330536176
3.00	155	-115.832279787656
3.00	160	-115.831140397565
3.00	165	-115.830042310232
3.00	170	-115.829122681506
3.00	175	-115.828506362614
3.00	180	-115.828288571356
3.10	0	-115.835104075223
3.10	5	-115.835111390953
3.10	10	-115.83513254746
3.10	15	-115.83516534029
3.10	20	-115.835206542293
3.10	25	-115.835252467199
3.10	30	-115.835299528623
3.10	35	-115.835344708425
3.10	40	-115.835385853685
3.10	45	-115.835421789158
3.10	50	-115.835452293882
3.10	55	-115.835477956775
3.10	60	-115.835499989173
3.10	65	-115.835520018046
3.10	70	-115.835539892393
3.10	75	-115.835561508209
3.10	80	-115.835586637955
3.10	85	-115.835616740661
3.10	90	-115.835652725569
3.10	95	-115.835694635321
3.10	100	-115.835741243863
3.10	105	-115.835789600836
3.10	110	-115.835834614359
3.10	115	-115.835868738316
3.10	120	-115.835881594064
3.10	125	-115.835859155677
3.10	130	-115.835782510583
3.10	135	-115.835627563162
3.10	140	-115.835367922863
3.10	145	-115.834981495013
3.10	150	-115.834459912779
3.10	155	-115.833821202003
3.10	160	-115.833121097227
3.10	165	-115.83244719927
3.10	170	-115.831892417356
3.10	175	-115.831530007076
3.10	180	-115.8314042813
3.20	0	-115.835295924745
3.20	5	-115.83530002207
3.20	10	-115.835311858506
