0,2,4,6
-0.9924600828407348,-0.20617447316878848,-0.0034795940234113153,-0.00016423805504075725
-0.8992565215554429,-0.1843059316208339,-0.002667736549641357,-0.00018457909654992846
-0.8161405041647083,-0.16486355023693497,-0.0026236972361318965,5.3008850610009733e-05
-0.7417610408160801,-0.14756885342028736,-0.0021245057666528927,-1.3257323180550923e-05
-0.6750170447571957,-0.13263076107625119,-0.001941134797373718,0.00014508234784357463
-0.6150677419087569,-0.11926966708888806,-0.0012280625688524983,-0.00021274468734315197
-0.5611393177476487,-0.10776668871428141,-0.0012328628608320605,0.00021447452939026695
-0.512652169710688,-0.09698532348350294,-0.001194143486071897,0.00011904583768088985
-0.4687644852264482,-0.08800017621529699,-0.0012597364269712457,0.0004944274714701394
-0.4290849734895146,-0.07968421934307221,-0.000763408789621476,-9.092091511225288e-05
-0.39316923816778954,-0.07254121928015166,-0.0009337436146227588,0.0001090395947535433
-0.36061691753801567,-0.0659101477137691,-0.0007090721649952456,-0.00032519280305972655
-0.33103952948369814,-0.0602154490143679,-0.00037836790439879945,6.0060405781306794e-05
-0.30409448824331076,-0.054907182204500166,-0.0005222103787632807,-0.0002672484363848721
-0.2797285453202868,-0.05015316032333063,-0.0001524114642423237,-0.00022003000602923393
-0.2573989701278976,-0.04587612062922529,-0.00010272124586232882,-9.502759263403399e-05
-0.23704319422751688,-0.04210904960721493,-0.00035469289117561094,0.00026047834330637527
-0.21841569665385333,-0.03851033807386858,-0.0004760297094793366,0.00028192595794571985
-0.20142781946828803,-0.03537241611020283,-0.0004895048220158096,8.795867719572394e-05
-0.18569765555375561,-0.032795313296865206,-0.0001902619598174839,-9.156372526476515e-05
-0.1713465493427639,-0.03022611050118567,-0.0002228290889373524,-0.00020412666042972198
-0.1583467161797992,-0.02782001686411398,-0.0001798908249997077,-1.4123013818561313e-05
-0.14621629317548634,-0.025576936420711557,-4.203876136720636e-05,0.00021450240102810231
-0.13504234310946786,-0.023731828713794614,6.503150899044865e-05,0.00019568140934920434
-0.12487592360661583,-0.02189435261417476,-3.3222275954367065e-05,-0.0002791792749739842
-0.11541589911261946,-0.020360311638186926,-0.00012828257202078487,-0.00017370226225691104
-0.10672143454289773,-0.018896026384687424,0.0001062596854084811,4.262317944109424e-05
-0.09869390410593303,-0.017550223281838626,-3.2121220115324377e-06,-0.000228273720319477
-0.09124027796663392,-0.01627800124063887,-0.00013128936605495407,-9.750427433882856e-05
-0.08432963224292893,-0.015156078599357761,0.00020872628869128204,8.743789792273367e-05
-0.07793686904562466,-0.014105456926054463,-8.731857866251305e-05,-0.0001892564888107402
-0.07206090311507629,-0.01305360592736343,-0.00010896444787676434,-0.00028650447237113627
-0.06673650205984692,-0.011911008071528856,-0.0005225083818761508,0.00017171016869960078
-0.061528704052865826,-0.011308800692334503,5.174175542468516e-06,8.048142317242124e-05
-0.05682373415589989,-0.010569276576369,-0.000326299287185273,-9.515807341486091e-05
-0.05249296481089796,-0.009581614729166466,-0.0002580253631206873,0.0005733876874229665
-0.048320454246883415,-0.009332739905510389,6.933139547804219e-05,0.00019528030170485417
-0.0444253350501181,-0.008820077401056912,0.00034268070101649663,-0.00015989987966883107
-0.04096410459297159,-0.008026987866301875,-3.7519163510694206e-05,0.0004598382179599413
-0.03758853473775764,-0.007718426197916925,4.852413525123218e-05,-0.0004249127288028414
-0.03444666658946933,-0.0073890313504329395,0.00018328742794326852,-0.00030569586581079234
-0.03161766825814115,-0.006561051296112608,0.00017580517982178215,0.0004549372464364806
-0.02900345607307451,-0.006191485562452786,-0.0003190712081371118,0.00016315084020817336
-0.02651120887134547,-0.005723088346662626,-0.0005477031448480715,-2.9189694297842954e-05
-0.02413045994811505,-0.005257953815496715,-0.000275307043370404,0.0004058415073896188
-0.021873769240535995,-0.00509251097368839,-0.00020521671570432836,0.000715981559840595
-0.01975652140045485,-0.00498973439114574,3.65074029510443e-05,0.0003983592098496004
-0.017793138468811094,-0.004794520887351734,0.00043831980411324306,-5.187921580114465e-05
-0.01586514970556452,-0.004593244858668404,0.0006596027173189389,9.922158751530206e-05
-0.014474041527365674,-0.0035620756733222357,-0.0005311843301805132,0.0010297222634935116
-0.012641797081867384,-0.0038865438980630763,-9.450683959909669e-05,-0.00023464123037301142
-0.011059811163134755,-0.004088009364723484,0.0004033582783413399,-0.0008431077676167405
-0.009932625072291184,-0.003196051701426757,-0.0006724420808664117,0.0004927637041131066
-0.008286736475960862,-0.0035207873002998658,0.0004890642588301132,0.0002672036488910904
-0.007403191269962674,-0.002515550605295367,-0.0009816839676108516,-6.229921544899483e-08
-0.005858356606226656,-0.003272731173429004,0.00012885054900578808,1.0474335811703757e-05
-0.005047126166053271,-0.001973809216302679,-0.00041647900092182943,0.0010235360587569583
-0.0036581665524717576,-0.003118701726443366,0.0002112598340956838,-0.00030755267577833065
-0.0028806839279373656,-0.0020071548404571836,-0.0003234538921726418,0.0010123951258284494
-0.0017228747279207804,-0.00285248070036173,0.0005462552978638729,-0.0007974557034689682
