R,a1,a2,a3,E
4.0,60,90,30,-76.97796166
3.9,60,0,60,-76.97796149999999
3.9,30,0,60,-76.97796149999999
3.9,0,0,60,-76.97796140000001
3.9,90,0,60,-76.97796140000001
4.1,30,0,90,-76.97796092
3.9,60,0,120,-76.97796028
3.9,30,0,120,-76.97796028
3.9,0,0,120,-76.97796019
3.9,90,0,120,-76.97796019
3.6,0,60,60,-76.97796015
3.7,30,60,60,-76.97795926
3.5,60,90,150,-76.97795847
3.5,60,90,30,-76.97795847
3.9,30,30,90,-76.97795821
3.6,30,60,60,-76.97795716
4.0,30,60,180,-76.97795643
4.0,0,60,180,-76.97795643
4.0,60,60,0,-76.97795643
4.0,60,60,180,-76.97795643
4.0,90,60,0,-76.97795643
4.0,90,60,180,-76.97795643
4.0,0,60,0,-76.97795643
4.0,30,60,0,-76.97795643
3.9,0,30,90,-76.97795534
3.7,90,30,60,-76.97795512
4.1,0,30,60,-76.97795406
3.7,90,30,120,-76.97795390000002
4.0,60,30,60,-76.97795303
3.8,0,60,60,-76.97795193
3.4,0,60,30,-76.97795173
4.0,30,90,150,-76.97795051
4.0,30,90,30,-76.97795051
3.8,90,30,60,-76.97794981
3.8,30,60,60,-76.97794948
3.6,90,60,180,-76.97794917
3.6,90,60,0,-76.97794917
3.6,60,60,180,-76.97794917
3.6,0,60,0,-76.97794917
3.6,0,60,180,-76.97794917
3.6,60,60,0,-76.97794917
3.6,30,60,0,-76.97794917
3.6,30,60,180,-76.97794917
3.8,90,30,120,-76.97794858
3.5,60,60,30,-76.97794752
4.1,30,30,60,-76.97794712
3.8,90,60,150,-76.97794647
3.8,90,60,30,-76.97794647
3.8,0,30,30,-76.97794572
3.6,90,30,60,-76.97794533
4.0,0,90,150,-76.97794455
4.0,0,90,30,-76.97794455
3.6,90,30,120,-76.97794413
4.0,90,30,90,-76.97794395
3.9,0,30,30,-76.97794319
3.5,30,0,60,-76.97794291
3.5,60,0,60,-76.97794291
3.5,0,0,60,-76.97794282
3.5,90,0,60,-76.97794282
3.7,60,60,60,-76.97794233
4.1,60,60,30,-76.97794213
3.5,60,0,120,-76.97794177
3.5,30,0,120,-76.97794177
3.5,90,0,120,-76.97794167
3.5,0,0,120,-76.97794167
4.1,90,90,150,-76.97794094
4.1,90,90,30,-76.97794094
4.2,0,60,30,-76.97794093
3.7,90,60,30,-76.97794063
3.7,90,60,150,-76.97794063
4.0,60,30,90,-76.97793974
3.9,90,60,150,-76.97793944
3.9,90,60,30,-76.97793944
4.0,30,0,60,-76.97793929999999
4.0,60,0,60,-76.97793929999999
4.0,90,0,60,-76.9779392
4.0,0,0,60,-76.9779392
3.5,0,60,60,-76.97793897
4.3,90,90,180,-76.97793829
4.3,90,90,0,-76.97793829
4.3,30,90,0,-76.97793829
4.3,60,90,0,-76.97793829
4.3,60,90,180,-76.97793829
4.3,0,90,180,-76.97793829
4.3,30,90,180,-76.97793829
4.3,0,90,0,-76.97793829
4.0,30,0,120,-76.97793807
4.0,60,0,120,-76.97793807
4.0,0,0,120,-76.97793798
4.0,90,0,120,-76.97793798
3.6,60,60,60,-76.97793795
4.1,60,90,30,-76.97793698
4.1,60,90,150,-76.97793698
3.5,30,90,150,-76.97793639
3.5,30,90,30,-76.97793639
3.5,30,60,60,-76.9779358
4.2,30,60,30,-76.97793468
3.8,60,60,60,-76.97793448
4.1,0,60,180,-76.97793417
4.1,90,60,0,-76.97793417
4.1,90,60,180,-76.97793417
4.1,0,60,0,-76.97793417
3.9,0,60,60,-76.97793417
4.1,30,60,0,-76.97793417
4.1,60,60,0,-76.97793417
4.1,30,60,180,-76.97793417
4.1,60,60,180,-76.97793417
3.9,90,30,60,-76.97793376
3.9,90,30,120,-76.97793253
3.7,0,30,30,-76.97793213
3.9,30,60,60,-76.97793208
4.0,30,30,90,-76.97793109999999
3.4,60,30,60,-76.97793099
3.8,30,30,30,-76.97793065
3.3,90,30,90,-76.97792985
4.0,0,30,30,-76.97792972
3.9,30,30,30,-76.97792968
