R	Gamma	E
14.00	105	1.224577
14.00	110	1.225532
14.00	115	1.226165
14.00	120	1.226487
14.00	125	1.226502
14.00	130	1.22624
14.00	135	1.225735
14.00	140	1.225035
14.00	145	1.224194
14.00	150	1.223274
14.00	155	1.222348
14.00	160	1.221474
14.00	165	1.220724
14.00	170	1.220142
14.00	175	1.219778
14.00	180	1.219518
14.50	0	1.143396
14.50	5	1.143687
14.50	10	1.144157
14.50	15	1.144933
14.50	20	1.146
14.50	25	1.147343
14.50	30	1.14894
14.50	35	1.150764
14.50	40	1.152782
14.50	45	1.154972
14.50	50	1.157297
14.50	55	1.159715
14.50	60	1.162192
14.50	65	1.164691
14.50	70	1.16717
14.50	75	1.169587
14.50	80	1.171912
14.50	85	1.174104
14.50	90	1.176127
14.50	95	1.17795
14.50	100	1.179547
14.50	105	1.180892
14.50	110	1.181976
14.50	115	1.182782
14.50	120	1.183318
14.50	125	1.18359
14.50	130	1.183617
14.50	135	1.183429
14.50	140	1.183062
14.50	145	1.18256
14.50	150	1.181972
14.50	155	1.181354
14.50	160	1.180759
14.50	165	1.180237
14.50	170	1.179829
14.50	175	1.179573
14.50	180	1.17935
15.00	0	1.103873
15.00	5	1.104149
15.00	10	1.104581
15.00	15	1.10529
15.00	20	1.10627
15.00	25	1.107501
15.00	30	1.10897
15.00	35	1.110643
15.00	40	1.112509
15.00	45	1.114534
15.00	50	1.116681
15.00	55	1.11893
15.00	60	1.121241
15.00	65	1.123579
15.00	70	1.125911
15.00	75	1.128203
15.00	80	1.130417
15.00	85	1.132526
15.00	90	1.134492
15.00	95	1.136293
15.00	100	1.137898
15.00	105	1.139292
15.00	110	1.140453
15.00	115	1.141382
15.00	120	1.142073
15.00	125	1.142529
15.00	130	1.14277
15.00	135	1.142816
15.00	140	1.142699
15.00	145	1.142449
15.00	150	1.142116
15.00	155	1.141731
15.00	160	1.141347
15.00	165	1.141
15.00	170	1.140724
15.00	175	1.140545
15.00	180	1.140351
16.00	0	1.030369
16.00	5	1.030622
16.00	10	1.030988
16.00	15	1.031596
16.00	20	1.032428
16.00	25	1.033475
16.00	30	1.034731
16.00	35	1.036171
16.00	40	1.037775
16.00	45	1.039523
16.00	50	1.041385
16.00	55	1.043344
16.00	60	1.045371
16.00	65	1.047433
16.00	70	1.049506
16.00	75	1.051563
16.00	80	1.053572
16.00	85	1.055511
16.00	90	1.057349
16.00	95	1.059068
16.00	100	1.060641
16.00	105	1.062055
16.00	110	1.063291
16.00	115	1.064349
16.00	120	1.065222
16.00	125	1.065909
16.00	130	1.06642
16.00	135	1.06677
16.00	140	1.066979
16.00	145	1.067068
16.00	150	1.067064
16.00	155	1.066997
16.00	160	1.066893
16.00	165	1.066779
16.00	170	1.066683
16.00	175	1.066613
16.00	180	1.066458
17.00	0	0.96373
17.00	5	0.963969
17.00	10	0.964286
17.00	15	0.964808
17.00	20	0.965529
17.00	25	0.966439
17.00	30	0.967529
17.00	35	0.968783
17.00	40	0.970179
17.00	45	0.971707
17.00	50	0.973341
17.00	55	0.975067
17.00	60	0.976858
17.00	65	0.97869
17.00	70	0.980544
17.00	75	0.982394
17.00	80	0.984218
17.00	85	0.985993
17.00	90	0.987694
17.00	95	0.989303
17.00	100	0.990807
17.00	105	0.992184
17.00	110	0.993426
17.00	115	0.994521
17.00	120	0.995469
17.00	125	0.996267
17.00	130	0.996919
17.00	135	0.99743
17.00	140	0.997822
17.00	145	0.998101
17.00	150	0.99829
17.00	155	0.998399
17.00	160	0.998463
17.00	165	0.99849
17.00	170	0.998495
17.00	175	0.998493
17.00	180	0.99836
18.00	0	0.903275
18.00	5	0.9035
18.00	10	0.903774
18.00	15	0.904234
18.00	20	0.904867
18.00	25	0.905666
18.00	30	0.906621
18.00	35	0.907721
18.00	40	0.908953
18.00	45	0.910304
18.00	50	0.911751
18.00	55	0.913284
18.00	60	0.914878
18.00	65	0.916518
18.00	70	0.918185
18.00	75	0.91985
18.00	80	0.921509
18.00	85	0.923127
18.00	90	0.924696
18.00	95	0.926196
18.00	100	0.927606
18.00	105	0.928921
18.00	110	0.930126
18.00	115	0.931214
18.00	120	0.932175
18.00	125	0.933016
18.00	130	0.933732
18.00	135	0.934327
18.00	140	0.934811
18.00	145	0.935195
18.00	150	0.935491
18.00	155	0.935708
18.00	160	0.935867
18.00	165	0.935971
18.00	170	0.93604
18.00	175	0.936076
18.00	180	0.935954
19.00	0	0.848322
19.00	5	0.848534
19.00	10	0.84878
19.00	15	0.849186
19.00	20	0.849745
19.00	25	0.850452
19.00	30	0.851299
19.00	35	0.852276
19.00	40	0.853373
19.00	45	0.854574
19.00	50	0.855865
19.00	55	0.857234
19.00	60	0.858663
19.00	65	0.860142
19.00	70	0.86164
19.00	75	0.863154
19.00	80	0.864657
19.00	85	0.866139
19.00	90	0.86758
19.00	95	0.86897
19.00	100	0.870286
19.00	105	0.871525
19.00	110	0.872675
19.00	115	0.873726
19.00	120	0.874674
19.00	125	0.875513
19.00	130	0.876247
19.00	135	0.876875
19.00	140	0.877403
19.00	145	0.877842
19.00	150	0.878196
19.00	155	0.878472
19.00	160	0.878684
19.00	165	0.878834
19.00	170	0.878939
19.00	175	0.878999
19.00	180	0.878884
20.00	0	0.798404
20.00	5	0.798609
20.00	10	0.798821
20.00	15	0.799175
20.00	20	0.799664
20.00	25	0.800285
20.00	30	0.801025
20.00	35	0.801882
20.00	40	0.802845
20.00	45	0.803899
20.00	50	0.805009
20.00	55	0.806241
20.00	60	0.807531
20.00	65	0.808863
20.00	70	0.81022
20.00	75	0.811597
20.00	80	0.812966
20.00	85	0.814323
20.00	90	0.815646
20.00	95	0.816931
20.00	100	0.818156
20.00	105	0.819315
20.00	110	0.820401
20.00	115	0.8214
20.00	120	0.822311
20.00	125	0.823133
20.00	130	0.823859
20.00	135	0.824493
20.00	140	0.825039
20.00	145	0.8255
20.00	150	0.825881
20.00	155	0.826186
20.00	160	0.826424
20.00	165	0.826602
20.00	170	0.826726
20.00	175	0.826798
20.00	180	0.826689
21.00	0	0.752931
21.00	5	0.753127
21.00	10	0.753308
21.00	15	0.753605
21.00	20	0.754024
21.00	25	0.75455
21.00	30	0.755185
21.00	35	0.75592
21.00	40	0.756748
21.00	45	0.757664
21.00	50	0.758653
21.00	55	0.759709
21.00	60	0.76082
21.00	65	0.761978
21.00	70	0.763169
21.00	75	0.764512
21.00	80	0.765756
21.00	85	0.766987
21.00	90	0.76828
21.00	95	0.769465
21.00	100	0.770604
21.00	105	0.771685
21.00	110	0.77259
21.00	115	0.773566
21.00	120	0.774473
21.00	125	0.775302
21.00	130	0.776052
21.00	135	0.77672
21.00	140	0.777308
21.00	145	0.777813
21.00	150	0.778243
21.00	155	0.778598
21.00	160	0.778885
21.00	165	0.7791
21.00	170	0.779253
21.00	175	0.779342
21.00	180	0.779239
22.00	0	0.710888
22.00	5	0.711075
22.00	10	0.711242
22.00	15	0.711517
22.00	20	0.711897
22.00	25	0.712379
22.00	30	0.712961
22.00	35	0.713631
22.00	40	0.714393
22.00	45	0.71523
22.00	50	0.716133
22.00	55	0.717104
22.00	60	0.718123
22.00	65	0.719186
22.00	70	0.720279
22.00	75	0.721394
22.00	80	0.722518
22.00	85	0.723645
22.00	90	0.724762
22.00	95	0.725857
22.00	100	0.72692
22.00	105	0.727946
22.00	110	0.728919
22.00	115	0.729844
22.00	120	0.730706
22.00	125	0.731503
22.00	130	0.73223
22.00	135	0.732887
22.00	140	0.733469
22.00	145	0.733978
22.00	150	0.734416
22.00	155	0.734782
22.00	160	0.735077
22.00	165	0.735306
22.00	170	0.735465
22.00	175	0.735565
22.00	180	0.735463
23.00	0	0.672264
23.00	5	0.672448
23.00	10	0.672602
23.00	15	0.672852
23.00	20	0.673198
23.00	25	0.673645
23.00	30	0.674177
23.00	35	0.674793
23.00	40	0.67549
23.00	45	0.676259
23.00	50	0.677092
23.00	55	0.677981
23.00	60	0.678918
23.00	65	0.679895
23.00	70	0.680901
23.00	75	0.681929
23.00	80	0.682967
23.00	85	0.684004
23.00	90	0.685037
23.00	95	0.686047
23.00	100	0.687031
23.00	105	0.687982
23.00	110	0.688891
23.00	115	0.68975
23.00	120	0.690555
23.00	125	0.691299
23.00	130	0.691984
23.00	135	0.692603
23.00	140	0.693151
23.00	145	0.693635
23.00	150	0.694052
23.00	155	0.694401
23.00	160	0.694685
23.00	165	0.694901
23.00	170	0.69506
23.00	175	0.695151
23.00	180	0.69505
24.00	0	0.636678
24.00	5	0.63686
24.00	10	0.636998
24.00	15	0.637231
24.00	20	0.637551
24.00	25	0.637958
24.00	30	0.638449
24.00	35	0.639017
24.00	40	0.639658
24.00	45	0.640363
24.00	50	0.641131
24.00	55	0.641951
24.00	60	0.642814
24.00	65	0.643715
24.00	70	0.644641
24.00	75	0.645591
24.00	80	0.646548
24.00	85	0.647508
24.00	90	0.648462
24.00	95	0.649397
24.00	100	0.650313
24.00	105	0.651194
24.00	110	0.652039
24.00	115	0.652839
24.00	120	0.653594
24.00	125	0.654287
24.00	130	0.654929
24.00	135	0.655511
24.00	140	0.656029
24.00	145	0.656486
24.00	150	0.656881
24.00	155	0.657212
24.00	160	0.657483
24.00	165	0.657688
24.00	170	0.65784
24.00	175	0.65793
24.00	180	0.657826
25.00	0	0.603798
25.00	5	0.603976
25.00	10	0.604105
25.00	15	0.604316
25.00	20	0.604613
25.00	25	0.604987
25.00	30	0.605442
25.00	35	0.605968
25.00	40	0.606557
25.00	45	0.60721
25.00	50	0.607918
25.00	55	0.608673
25.00	60	0.609472
25.00	65	0.610302
25.00	70	0.611161
25.00	75	0.612036
25.00	80	0.612925
25.00	85	0.613813
25.00	90	0.614695
25.00	95	0.615565
25.00	100	0.616414
25.00	105	0.617232
25.00	110	0.618018
25.00	115	0.618766
25.00	120	0.61947
25.00	125	0.620117
25.00	130	0.620721
25.00	135	0.621264
25.00	140	0.621755
25.00	145	0.622185
25.00	150	0.62256
25.00	155	0.622872
25.00	160	0.623132
25.00	165	0.623329
25.00	170	0.623469
25.00	175	0.623554
25.00	180	0.62345
50.00	0	0.202078
50.00	5	0.202219
50.00	10	0.20225
50.00	15	0.202302
50.00	20	0.202373
50.00	25	0.202464
50.00	30	0.202571
50.00	35	0.202699
50.00	40	0.20284
50.00	45	0.202996
50.00	50	0.203166
50.00	55	0.20335
50.00	60	0.203544
50.00	65	0.203745
50.00	70	0.203956
50.00	75	0.204171
50.00	80	0.20439
50.00	85	0.204611
50.00	90	0.204831
50.00	95	0.205049
50.00	100	0.205269
50.00	105	0.205476
50.00	110	0.205681
50.00	115	0.205879
50.00	120	0.206062
50.00	125	0.20624
50.00	130	0.206407
50.00	135	0.206557
50.00	140	0.206695
50.00	145	0.206818
50.00	150	0.206926
50.00	155	0.207021
50.00	160	0.207096
50.00	165	0.207154
50.00	170	0.207199
50.00	175	0.207223
50.00	180	0.207097
100.00	0	-0.001223
100.00	5	-0.00109
100.00	10	-0.001082
100.00	15	-0.00107
100.00	20	-0.001053
100.00	25	-0.001031
100.00	30	-0.001005
100.00	35	-0.000975
100.00	40	-0.000943
100.00	45	-0.000905
100.00	50	-0.000866
100.00	55	-0.000823
100.00	60	-0.000775
100.00	65	-0.000726
100.00	70	-0.000674
100.00	75	-0.000623
100.00	80	-0.000573
100.00	85	-0.000519
100.00	90	-0.000463
100.00	95	-0.000412
100.00	100	-0.000357
100.00	105	-0.000308
100.00	110	-0.000255
100.00	115	-0.000208
100.00	120	-0.000163
100.00	125	-0.000118
100.00	130	-7.7e-05
100.00	135	-3.9e-05
100.00	140	-3e-06
100.00	145	2.7e-05
100.00	150	5.5e-05
100.00	155	7.9e-05
100.00	160	9.7e-05
100.00	165	0.000113
100.00	170	0.000125
100.00	175	0.000131
100.00	180	-0.0
