R	Gamma	E
4.10	110	-22.487853
4.10	115	-26.04636
4.10	120	-30.617295
4.10	125	-36.518557
4.10	130	-44.117481
4.10	135	-53.793804
4.10	140	-65.879438
4.10	145	-80.566529
4.10	150	-97.776012
4.10	155	-116.996191
4.10	160	-137.138721
4.10	165	-156.489651
4.10	170	-172.840625
4.10	175	-183.875734
4.10	180	-187.78451
4.20	0	-11.999259
4.20	5	-11.949924
4.20	10	-11.805717
4.20	15	-11.576351
4.20	20	-11.277087
4.20	25	-10.92745
4.20	30	-10.549554
4.20	35	-10.166627
4.20	40	-9.801838
4.20	45	-9.477379
4.20	50	-9.21388
4.20	55	-9.030503
4.20	60	-8.94492
4.20	65	-8.973896
4.20	70	-9.133928
4.20	75	-9.442062
4.20	80	-9.916891
4.20	85	-10.580068
4.20	90	-11.458316
4.20	95	-12.58716
4.20	100	-14.017225
4.20	105	-15.824234
4.20	110	-18.12297
4.20	115	-21.083894
4.20	120	-24.946537
4.20	125	-30.022084
4.20	130	-36.676257
4.20	135	-45.286622
4.20	140	-56.173219
4.20	145	-69.505297
4.20	150	-85.182335
4.20	155	-102.699499
4.20	160	-121.029378
4.20	165	-138.588207
4.20	170	-153.371529
4.20	175	-163.315152
4.20	180	-166.83027
4.30	0	-9.70688
4.30	5	-9.667001
4.30	10	-9.550497
4.30	15	-9.365132
4.30	20	-9.123253
4.30	25	-8.840462
4.30	30	-8.534403
4.30	35	-8.223539
4.30	40	-7.926223
4.30	45	-7.659955
4.30	50	-7.4411
4.30	55	-7.284894
4.30	60	-7.205652
4.30	65	-7.217163
4.30	70	-7.33332
4.30	75	-7.568692
4.30	80	-7.939372
4.30	85	-8.463972
4.30	90	-9.165388
4.30	95	-10.073786
4.30	100	-11.232003
4.30	105	-12.704643
4.30	110	-14.591556
4.30	115	-17.044424
4.30	120	-20.282226
4.30	125	-24.597152
4.30	130	-30.340485
4.30	135	-37.879708
4.30	140	-47.525495
4.30	145	-59.43422
4.30	150	-73.495834
4.30	155	-89.220167
4.30	160	-105.64834
4.30	165	-121.339994
4.30	170	-134.507555
4.30	175	-143.338298
4.30	180	-146.454595
4.40	0	-7.883026
4.40	5	-7.850599
4.40	10	-7.755916
4.40	15	-7.605074
4.40	20	-7.407858
4.40	25	-7.176645
4.40	30	-6.925383
4.40	35	-6.668783
4.40	40	-6.421426
4.40	45	-6.197359
4.40	50	-6.00984
4.40	55	-5.871357
4.40	60	-5.793825
4.40	65	-5.788988
4.40	70	-5.868759
4.40	75	-6.045857
4.40	80	-6.334262
4.40	85	-6.750067
4.40	90	-7.312801
4.40	95	-8.047765
4.40	100	-8.990639
4.40	105	-10.195271
4.40	110	-11.746018
4.40	115	-13.773676
4.40	120	-16.471623
4.40	125	-20.104756
4.40	130	-24.99945
4.40	135	-31.505034
4.40	140	-39.921798
4.40	145	-50.402387
4.40	150	-62.842417
4.40	155	-76.780529
4.40	160	-91.332348
4.40	165	-105.199981
4.40	170	-116.803386
4.40	175	-124.565232
4.40	180	-127.300346
4.50	0	-6.435521
4.50	5	-6.408698
4.50	10	-6.330335
4.50	15	-6.205261
4.50	20	-6.041191
4.50	25	-5.847987
4.50	30	-5.6368
4.50	35	-5.41944
4.50	40	-5.207756
4.50	45	-5.013268
