E (cm-1),0->2	,E (cm-1),0->4	,E (cm-1),2->4	,E (cm-1),4->6	
17.5,3.91648,49.6,0.09372387,49.6,1.45374,,
17.55,3.87492,49.7,0.0941295,49.7,1.45844,,
17.6,3.82707,49.8,0.09453561,49.8,1.46317,,
17.65,3.77415,49.9,0.09494094,49.9,1.4679,,
17.7,3.7174,50.0,0.09534427,50.0,1.47262,,
17.75,3.65796,50.1,0.09574448,50.1,1.47731,,
17.8,3.59691,51.0,0.09912103,51.0,1.51623,,
17.85,3.5352,52.0,0.1025,52.0,1.55305,,
17.9,3.47368,53.0,0.105958,53.0,1.59012,,
17.95,3.4131,54.0,0.109709,54.0,1.63121,,
18.0,3.35408,55.0,0.113608,55.0,1.67412,,
18.05,3.29715,56.0,0.117496,56.0,1.71608,,
18.1,3.24276,57.0,0.121379,57.0,1.75699,,
18.15,3.19126,58.0,0.125343,58.0,1.79818,,
18.2,3.14293,59.0,0.129427,59.0,1.84021,,
18.25,3.09798,60.0,0.133612,60.0,1.88263,,
18.3,3.05657,61.0,0.137866,61.0,1.9248,,
18.35,3.01881,62.0,0.142186,62.0,1.96659,,
18.4,2.98477,63.0,0.14659,63.0,2.00828,,
18.45,2.9545,64.0,0.151101,64.0,2.05016,,
18.5,2.92799,65.0,0.155727,65.0,2.0923,,
18.55,2.90524,66.0,0.16047,66.0,2.13461,,
18.6,2.88621,67.0,0.165334,67.0,2.17703,,
18.65,2.87085,68.0,0.170332,68.0,2.21967,,
18.7,2.8591,69.0,0.175494,69.0,2.26286,,
18.75,2.85089,70.0,0.180875,70.0,2.30717,,
18.8,2.84613,71.0,0.186594,71.0,2.35378,,
18.85,2.84473,72.0,0.193057,72.0,2.40667,,
18.9,2.84659,73.0,0.194977,73.0,2.40964,,
18.95,2.85161,74.0,0.202852,74.0,2.47552,,
19.0,2.85967,75.0,0.203757,75.0,2.46885,,
19.05,2.87064,76.0,0.209845,76.0,2.47504,,
19.1,2.8844,77.0,0.217098,77.0,2.56926,,
19.15,2.90081,78.0,0.206628,78.0,2.45396,,
19.2,2.91973,79.0,0.224249,79.0,2.60659,,
19.25,2.941,80.0,0.224137,80.0,2.59556,,
19.3,2.96447,81.0,0.231832,81.0,2.64422,,
19.35,2.98995,82.0,0.238746,82.0,2.69207,,
19.4,3.01729,83.0,0.24281,83.0,2.71237,,
19.45,3.04627,84.0,0.24892,84.0,2.74781,,
19.5,3.07672,85.0,0.255424,85.0,2.78732,,
19.55,3.10842,86.0,0.261218,86.0,2.82009,,
19.6,3.14117,87.0,0.267038,87.0,2.85161,,
19.65,3.17473,88.0,0.273306,88.0,2.886,,
19.7,3.20889,89.0,0.279686,89.0,2.9207,,
19.75,3.24342,90.0,0.285997,90.0,2.95409,,
19.8,3.27807,91.0,0.292341,91.0,2.98685,,
19.85,3.31261,92.0,0.298828,92.0,3.01992,,
19.9,3.34681,93.0,0.305443,93.0,3.05322,,
19.95,3.38044,94.0,0.312129,94.0,3.08634,,
20.0,3.41325,95.0,0.318871,95.0,3.11912,,
20.05,3.44503,96.0,0.325688,96.0,3.15172,,
20.1,3.47556,97.0,0.332596,97.0,3.18426,,
20.15,3.50464,98.0,0.339597,98.0,3.21675,,
20.2,3.53207,99.0,0.346681,99.0,3.24914,,
20.25,3.5577,100.0,0.353843,100.0,3.28139,,
20.3,3.58136,,,,,,
20.35,3.60291,,,,,,
20.4,3.62224,,,,,,
20.45,3.63926,,,,,,
20.5,3.6539,,,,,,
20.55,3.66611,,,,,,
20.6,3.67588,,,,,,
20.65,3.6832,,,,,,
20.7,3.68809,,,,,,
20.75,3.6906,,,,,,
20.8,3.6908,,,,,,
20.85,3.68877,,,,,,
20.9,3.6846,,,,,,
20.95,3.6784,,,,,,
21.0,3.67032,,,,,,
21.05,3.66047,,,,,,
21.1,3.649,,,,,,
21.15,3.63606,,,,,,
21.2,3.62182,,,,,,
21.25,3.60641,,,,,,
21.3,3.59,,,,,,
21.35,3.57275,,,,,,
21.4,3.5548,,,,,,
21.45,3.53631,,,,,,
21.5,3.51742,,,,,,
21.55,3.49826,,,,,,
21.6,3.47898,,,,,,
21.65,3.4597,,,,,,
21.7,3.44052,,,,,,
21.75,3.42158,,,,,,
21.8,3.40296,,,,,,
21.85,3.38476,,,,,,
