T	2->0	4->0	6->0	8->0	
7.100000000000000000e+01 4.607237422015486905e-12 1.523276995455025512e-13 1.123916213971645874e-14 4.817054659779004955e-16
7.200000000000000000e+01 4.594727208635535122e-12 1.531350794677189885e-13 1.136175311314080701e-14 4.933704565621628949e-16
7.300000000000000000e+01 4.582152808797175492e-12 1.539634328885876107e-13 1.148819896196850869e-14 5.051606365283199805e-16
7.400000000000000000e+01 4.569529750913974876e-12 1.548124095475120167e-13 1.161836341864107181e-14 5.170694679303674410e-16
7.500000000000000000e+01 4.556872395724359880e-12 1.556816252339783690e-13 1.175211135905466905e-14 5.290903543308980606e-16
7.600000000000000000e+01 4.544194004562563200e-12 1.565706649666818056e-13 1.188930882902168481e-14 5.412166585700406689e-16
7.700000000000000000e+01 4.531506804460595803e-12 1.574790859860443078e-13 1.202982307942499509e-14 5.534417196907924215e-16
7.800000000000000000e+01 4.518822050139625802e-12 1.584064205710428958e-13 1.217352260842479167e-14 5.657588689940036055e-16
7.900000000000000000e+01 4.506150082963566421e-12 1.593521786903632244e-13 1.232027720923247818e-14 5.781614452055017640e-16
8.000000000000000000e+01 4.493500386938717978e-12 1.603158504970908619e-13 1.246995802211352319e-14 5.906428087460892775e-16
8.100000000000000000e+01 4.480881641851535400e-12 1.612969086754342995e-13 1.262243758942007571e-14 6.031963551024658190e-16
8.200000000000000000e+01 4.468301773642474304e-12 1.622948106473415691e-13 1.277758991258493807e-14 6.158155273035634115e-16
8.300000000000000000e+01 4.455768002117746918e-12 1.633090006463021692e-13 1.293529051013076347e-14 6.284938275123819449e-16
8.400000000000000000e+01 4.443286886103234413e-12 1.643389116651263278e-13 1.309541647586236376e-14 6.412248277482429041e-16
8.500000000000000000e+01 4.430864366145783664e-12 1.653839672840450548e-13 1.325784653651572099e-14 6.540021797584986935e-16
8.600000000000000000e+01 4.418505804867130240e-12 1.664435833850753580e-13 1.342246110823487934e-14 6.668196240621897558e-16
8.700000000000000000e+01 4.406216025074794321e-12 1.675171697582392945e-13 1.358914235133781041e-14 6.796709981910002211e-16
8.800000000000000000e+01 4.393999345732723537e-12 1.686041316049052601e-13 1.375777422291440514e-14 6.925502441551715215e-16
8.900000000000000000e+01 4.381859615892428291e-12 1.697038709432347203e-13 1.392824252687518907e-14 7.054514151638661282e-16
9.000000000000000000e+01 4.369800246682773465e-12 1.708157879204566928e-13 1.410043496113700587e-14 7.183686816308322820e-16
9.100000000000000000e+01 4.357824241453822078e-12 1.719392820364596243e-13 1.427424116169406498e-14 7.312963364972324983e-16
9.200000000000000000e+01 4.345934224167028575e-12 1.730737532829743660e-13 1.444955274337802800e-14 7.442287999041119701e-16
9.300000000000000000e+01 4.334132466120939550e-12 1.742186032024276094e-13 1.462626333716059036e-14 7.571606232473342293e-16
9.400000000000000000e+01 4.322420911098133835e-12 1.753732358703636091e-13 1.480426862389658367e-14 7.700864926478606334e-16
9.500000000000000000e+01 4.310801199015855863e-12 1.765370588051654712e-13 1.498346636444482134e-14 7.830012318700923760e-16
9.600000000000000000e+01 4.299274688159371189e-12 1.777094838086510201e-13 1.516375642613889107e-14 7.958998047206211743e-16
9.700000000000000000e+01 4.287842476073634238e-12 1.788899277409718000e-13 1.534504080561045963e-14 8.087773169591942267e-16
9.800000000000000000e+01 4.276505419185626411e-12 1.800778132331073471e-13 1.552722364799423993e-14 8.216290177530290886e-16
9.900000000000000000e+01 4.265264151226291942e-12 1.812725693401141150e-13 1.571021126256676081e-14 8.344503007048000114e-16
1.000000000000000000e+02 4.254119100517939804e-12 1.824736321381685522e-13 1.589391213489075140e-14 8.472367044837450075e-16
