T	0->2	0->4	0->6	0->8	
7.000000000000000000e+01 1.845432786651683930e-11 6.454060681298079324e-13 3.003954172210185154e-14 5.406509515163481814e-16
7.100000000000000000e+01 1.846295347293029373e-11 6.556267741210226144e-13 3.103926213982187188e-14 5.753307233504322787e-16
7.200000000000000000e+01 1.846950121845995537e-11 6.658892370725373206e-13 3.206024012834889250e-14 6.114027207551475919e-16
7.300000000000000000e+01 1.847409976989574721e-11 6.761958458747246874e-13 3.310254181652194279e-14 6.488780868208355817e-16
7.400000000000000000e+01 1.847687065102140829e-11 6.865486630984330363e-13 3.416620183521879310e-14 6.877661782661628423e-16
7.500000000000000000e+01 1.847792858589491317e-11 6.969494370812039209e-13 3.525122373865729429e-14 7.280745627126319179e-16
7.600000000000000000e+01 1.847738183035960088e-11 7.073996143118357073e-13 3.635758053105705559e-14 7.698090226548912196e-16
7.700000000000000000e+01 1.847533249157396430e-11 7.179003520227089328e-13 3.748521528847714011e-14 8.129735657754956529e-16
7.800000000000000000e+01 1.847187683546415669e-11 7.284525309095630128e-13 3.863404186599737163e-14 8.575704412296653048e-16
7.900000000000000000e+01 1.846710558209994881e-11 7.390567679076074592e-13 3.980394568078586426e-14 9.036001615084455259e-16
8.000000000000000000e+01 1.846110418907486117e-11 7.497134289611199622e-13 4.099478456199053024e-14 9.510615294769921588e-16
8.100000000000000000e+01 1.845395312303702117e-11 7.604226417311345663e-13 4.220638965880461142e-14 9.999516701780278641e-16
8.200000000000000000e+01 1.844572811957063862e-11 7.711843081925366461e-13 4.343856639848153899e-14 1.050266066988271772e-15
8.300000000000000000e+01 1.843650043167093527e-11 7.819981170779511498e-13 4.469109548650853952e-14 1.101998601717340739e-15
8.400000000000000000e+01 1.842633706708928159e-11 7.928635561312971075e-13 4.596373394158958037e-14 1.155141598243789909e-15
8.500000000000000000e+01 1.841530101485142475e-11 8.037799241388538805e-13 4.725621615853139191e-14 1.209685869291109370e-15
8.600000000000000000e+01 1.840345146127174094e-11 8.147463427101831260e-13 4.856825499256850131e-14 1.265620765957168426e-15
8.700000000000000000e+01 1.839084399580010990e-11 8.257617677853291041e-13 4.989954285910330275e-14 1.322934229623434693e-15
8.800000000000000000e+01 1.837753080704808774e-11 8.368250008484223736e-13 5.124975284327008371e-14 1.381612845884834178e-15
8.900000000000000000e+01 1.836356086934643686e-11 8.479346998311677011e-13 5.261853981415721820e-14 1.441641900157091340e-15
9.000000000000000000e+01 1.834898012018836319e-11 8.590893896927146193e-13 5.400554153893632487e-14 1.503005434635370124e-15
9.100000000000000000e+01 1.833383162891267150e-11 8.702874726651861664e-13 5.541037979255004982e-14 1.565686306295882597e-15
9.200000000000000000e+01 1.831815575697820989e-11 8.815272381565985438e-13 5.683266145899938334e-14 1.629666245650402010e-15
9.300000000000000000e+01 1.830199031017669263e-11 8.928068723051626165e-13 5.827197962064508072e-14 1.694925915982260074e-15
9.400000000000000000e+01 1.828537068312483581e-11 9.041244671809681737e-13 5.972791463229699240e-14 1.761444972811087273e-15
9.500000000000000000e+01 1.826832999636976033e-11 9.154780296328818219e-13 6.120003517720713310e-14 1.829202123352177086e-15
9.600000000000000000e+01 1.825089922643342289e-11 9.268654897800959823e-13 6.268789930240717928e-14 1.898175185754734872e-15
9.700000000000000000e+01 1.823310732911292711e-11 9.382847091492434164e-13 6.419105543113872059e-14 1.968341147921278685e-15
9.800000000000000000e+01 1.821498135634429029e-11 9.497334884592688225e-13 6.570904335041559272e-14 2.039676225728010081e-15
9.900000000000000000e+01 1.819654656692731508e-11 9.612095750574051004e-13 6.724139517202901227e-14 2.112155920482948865e-15
1.000000000000000000e+02 1.817782653139940558e-11 9.727106700106200068e-13 6.878763626556351012e-14 2.185755075475016481e-15
