   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
   11.15000000          0      1     13      1    1          281.094      
   11.15000000          0      1     13      2    1         2.034969E-02  
   11.15000000          0      1     13      1    2         0.197820      
   11.15000000          0      1     13      2    2          267.964      
   11.20000000          0      1     13      1    1          280.285      
   11.20000000          0      1     13      2    1         2.623672E-02  
   11.20000000          0      1     13      1    2         0.210345      
   11.20000000          0      1     13      2    2          260.178      
   11.25000000          0      1     13      1    1          279.462      
   11.25000000          0      1     13      2    1         3.264067E-02  
   11.25000000          0      1     13      1    2         0.222955      
   11.25000000          0      1     13      2    2          255.896      
   11.30000000          0      1     13      1    1          278.627      
   11.30000000          0      1     13      2    1         3.953825E-02  
   11.30000000          0      1     13      1    2         0.235520      
   11.30000000          0      1     13      2    2          254.125      
   11.35000000          0      1     13      1    1          277.782      
   11.35000000          0      1     13      2    1         4.695784E-02  
   11.35000000          0      1     13      1    2         0.248240      
   11.35000000          0      1     13      2    2          253.136      
   11.40000000          0      1     13      1    1          276.928      
   11.40000000          0      1     13      2    1         5.499392E-02  
   11.40000000          0      1     13      1    2         0.261548      
   11.40000000          0      1     13      2    2          252.067      
   11.45000000          0      1     13      1    1          276.067      
   11.45000000          0      1     13      2    1         6.383703E-02  
   11.45000000          0      1     13      1    2         0.276137      
   11.45000000          0      1     13      2    2          250.953      
   11.50000000          0      1     13      1    1          275.197      
   11.50000000          0      1     13      2    1         7.381684E-02  
   11.50000000          0      1     13      1    2         0.293025      
   11.50000000          0      1     13      2    2          250.456      
   11.55000000          0      1     13      1    1          274.320      
   11.55000000          0      1     13      2    1         8.546646E-02  
   11.55000000          0      1     13      1    2         0.313676      
   11.55000000          0      1     13      2    2          249.921      
   11.60000000          0      1     13      1    1          273.432      
   11.60000000          0      1     13      2    1         9.965415E-02  
   11.60000000          0      1     13      1    2         0.340297      
   11.60000000          0      1     13      2    2          249.430      
   11.65000000          0      1     13      1    1          272.528      
   11.65000000          0      1     13      2    1         0.117797      
   11.65000000          0      1     13      1    2         0.376291      
   11.65000000          0      1     13      2    2          249.105      
   11.70000000          0      1     13      1    1          271.602      
   11.70000000          0      1     13      2    1         0.142291      
   11.70000000          0      1     13      1    2         0.427202      
   11.70000000          0      1     13      2    2          248.838      
   11.75000000          0      1     13      1    1          270.639      
   11.75000000          0      1     13      2    1         0.177399      
   11.75000000          0      1     13      1    2         0.502638      
   11.75000000          0      1     13      2    2          248.778      
   11.80000000          0      1     13      1    1          269.612      
   11.80000000          0      1     13      2    1         0.231189      
   11.80000000          0      1     13      1    2         0.620429      
   11.80000000          0      1     13      2    2          248.847      
   11.85000000          0      1     13      1    1          268.474      
   11.85000000          0      1     13      2    1         0.320406      
   11.85000000          0      1     13      1    2         0.817047      
   11.85000000          0      1     13      2    2          249.261      
   11.90000000          0      1     13      1    1          267.118      
   11.90000000          0      1     13      2    1         0.484293      
   11.90000000          0      1     13      1    2          1.17686      
   11.90000000          0      1     13      2    2          250.244      
   11.95000000          0      1     13      1    1          265.299      
   11.95000000          0      1     13      2    1         0.831631      
   11.95000000          0      1     13      1    2          1.93083      
   11.95000000          0      1     13      2    2          252.712      
   12.00000000          0      1     13      1    1          262.380      
   12.00000000          0      1     13      2    1          1.72963      
   12.00000000          0      1     13      1    2          3.84576      
   12.00000000          0      1     13      2    2          259.741      
   12.05000000          0      1     13      1    1          257.827      
   12.05000000          0      1     13      2    1          4.16884      
   12.05000000          0      1     13      1    2          8.89579      
   12.05000000          0      1     13      2    2          280.855      
   12.10000000          0      1     13      1    1          258.447      
   12.10000000          0      1     13      2    1          5.19894      
   12.10000000          0      1     13      1    2          10.6677      
   12.10000000          0      1     13      2    2          297.593      
   12.15000000          0      1     13      1    1          257.215      
   12.15000000          0      1     13      2    1          5.18958      
   12.15000000          0      1     13      1    2          10.2576      
   12.15000000          0      1     13      2    2          310.993      
   12.20000000          0      1     13      1    1          251.353      
   12.20000000          0      1     13      2    1          7.66018      
   12.20000000          0      1     13      1    2          14.6091      
   12.20000000          0      1     13      2    2          360.693      
   12.25000000          0      1     13      1    1          253.782      
   12.25000000          0      1     13      2    1          6.75381      
