T	0->2	0->4	0->6	0->8	
3.700000000000000000e+01 1.558770130515676900e-11 2.951597661634901788e-13 6.962700581511793560e-15 2.000925412202807493e-17
3.800000000000000000e+01 1.580359646205064807e-11 3.074838895406282077e-13 7.451223277939771236e-15 2.350055144665506022e-17
3.900000000000000000e+01 1.600731190541124175e-11 3.196305320303424958e-13 7.949652996446391028e-15 2.741795965904599780e-17
4.000000000000000000e+01 1.619928646013384108e-11 3.316007038221180961e-13 8.457952815508690242e-15 3.179204684795014680e-17
4.100000000000000000e+01 1.637996501699177134e-11 3.433973202831017152e-13 8.976176312455060292e-15 3.665408633146739044e-17
4.200000000000000000e+01 1.654979499106167852e-11 3.550248922449944877e-13 9.504458402127640808e-15 4.203602621004229258e-17
4.300000000000000000e+01 1.670922322440889504e-11 3.664892492400480653e-13 1.004300637572021239e-14 4.797045233678852896e-17
4.400000000000000000e+01 1.685869331251112193e-11 3.777972935475677082e-13 1.059209124070039596e-14 5.449054374251362338e-17
4.500000000000000000e+01 1.699864332667496709e-11 3.889567827204977162e-13 1.115203942882896022e-14 6.163001986133966199e-17
4.600000000000000000e+01 1.712950390060890620e-11 3.999761381949443209e-13 1.172322491384219074e-14 6.942307920765450102e-17
4.700000000000000000e+01 1.725169664749984072e-11 4.108642776071915746e-13 1.230606176162579254e-14 7.790432944647621229e-17
4.800000000000000000e+01 1.736563287374061816e-11 4.216304685252417997e-13 1.290099712221589857e-14 8.710870906912220151e-17
4.900000000000000000e+01 1.747171255636046672e-11 4.322842014234920596e-13 1.350850466350193347e-14 9.707140112814316379e-17
5.000000000000000000e+01 1.757032355285153858e-11 4.428350798744875968e-13 1.412907844009109993e-14 1.078277396953605001e-16
5.100000000000000000e+01 1.766184101416778148e-11 4.532927260886857439e-13 1.476322718663814895e-14 1.194131098817944530e-16
5.200000000000000000e+01 1.774662697400103941e-11 4.636667000937941185e-13 1.541146902241778109e-14 1.318628423970858403e-16
5.300000000000000000e+01 1.782503008986248001e-11 4.739664310034521225e-13 1.607432655254536705e-14 1.452121037288334200e-16
5.400000000000000000e+01 1.789738551390663211e-11 4.842011589769289829e-13 1.675232235065503341e-14 1.594957830903514278e-16
5.500000000000000000e+01 1.796401487377217670e-11 4.943798866146945967e-13 1.744597480775742749e-14 1.747483773209009406e-16
5.600000000000000000e+01 1.802522634591737924e-11 5.045113386675205038e-13 1.815579433221313975e-14 1.910038749282957385e-16
5.700000000000000000e+01 1.808131480598791539e-11 5.146039290587616976e-13 1.888227988613194879e-14 2.082956404432884774e-16
5.800000000000000000e+01 1.813256204264204145e-11 5.246657343303520240e-13 1.962591584394635002e-14 2.266563002119024306e-16
5.900000000000000000e+01 1.817923702298061331e-11 5.347044727231844470e-13 2.038716915934609472e-14 2.461176306896408663e-16
6.000000000000000000e+01 1.822159619928165832e-11 5.447274881923121114e-13 2.116648682715849413e-14 2.667104502239749826e-16
6.100000000000000000e+01 1.825988384812935946e-11 5.547417387377194891e-13 2.196429362710535412e-14 2.884645152222694813e-16
6.200000000000000000e+01 1.829433243426967175e-11 5.647537885026456508e-13 2.278099013664924409e-14 3.114084215046941995e-16
6.300000000000000000e+01 1.832516299261880805e-11 5.747698031548233053e-13 2.361695100036409513e-14 3.355695115387798765e-16
6.400000000000000000e+01 1.835258552282425215e-11 5.847955481218474918e-13 2.447252344344135728e-14 3.609737881468426066e-16
6.500000000000000000e+01 1.837679939162569726e-11 5.948363893013905116e-13 2.534802601707453709e-14 3.876458351718973355e-16
6.600000000000000000e+01 1.839799373900905348e-11 6.048972959105251086e-13 2.624374756357579068e-14 4.156087454840464240e-16
6.700000000000000000e+01 1.841634788479714855e-11 6.149828451768522220e-13 2.715994638917142759e-14 4.448840566092260581e-16
6.800000000000000000e+01 1.843203173288391371e-11 6.250972286079878995e-13 2.809684963251573330e-14 4.754916941671413166e-16
6.900000000000000000e+01 1.844520617080960089e-11 6.352442596058356576e-13 2.905465281706271584e-14 5.074499232161708303e-16
7.000000000000000000e+01 1.845602346279618067e-11 6.454273822183629455e-13 3.003351957555105784e-14 5.407753075208246856e-16
7.100000000000000000e+01 1.846462763472633386e-11 6.556496808449213701e-13 3.103358153499449790e-14 5.754826766824472833e-16
7.200000000000000000e+01 1.847115484986383638e-11 6.659138907316574893e-13 3.205493835073845159e-14 6.115851010067145461e-16
7.300000000000000000e+01 1.847573377437712394e-11 6.762224091118191371e-13 3.309765787833554558e-14 6.490938739219837616e-16
7.400000000000000000e+01 1.847848593196002493e-11 6.865773068619044839e-13 3.416177647222319321e-14 6.880185017109112709e-16
7.500000000000000000e+01 1.847952604703426979e-11 6.969803405589880382e-13 3.524729940044315204e-14 7.283667002735627064e-16
7.600000000000000000e+01 1.847896237618504287e-11 7.074329648373780897e-13 3.635420136493519459e-14 7.701443986033949574e-16
7.700000000000000000e+01 1.847689702761712682e-11 7.179363449541376604e-13 3.748242711725542045e-14 8.133557486274685464e-16
7.800000000000000000e+01 1.847342626853670457e-11 7.284913694833386698e-13 3.863189215991645835e-14 8.580031410387548483e-16
7.900000000000000000e+01 1.846864082045931968e-11 7.390986630679889257e-13 3.980248352391700916e-14 9.040872267308696603e-16
8.000000000000000000e+01 1.846262614252563058e-11 7.497585991669151513e-13 4.099406061341873706e-14 9.516069434335465284e-16
8.100000000000000000e+01 1.845546270297100471e-11 7.604713127412310296e-13 4.220645610893588327e-14 1.000559547140123149e-15
8.200000000000000000e+01 1.844722623894943389e-11 7.712367128317903771e-13 4.343947692082577501e-14 1.050940647915759039e-15
8.300000000000000000e+01 1.843798800495443537e-11 7.820544949850335184e-13 4.469290518529576920e-14 1.102744249676499455e-15
8.400000000000000000e+01 1.842781501011442533e-11 7.929241534901016818e-13 4.596649929558328878e-14 1.155962793534203592e-15
8.500000000000000000e+01 1.841677024466439852e-11 8.038449933951003299e-13 4.725999496140280897e-14 1.210587204310226459e-15
8.600000000000000000e+01 1.840491289591756463e-11 8.148161422748224846e-13 4.857310629019382235e-14 1.266606939831240411e-15
8.700000000000000000e+01 1.839229855407378158e-11 8.258365617263343762e-13 4.990552688414349780e-14 1.324010042633176469e-15
8.800000000000000000e+01 1.837897940821019184e-11 8.369050585725508869e-13 5.125693094738375174e-14 1.382783193713628163e-15
8.900000000000000000e+01 1.836500443280772017e-11 8.480202957571863946e-13 5.262697439819121226e-14 1.442911767988910044e-15
9.000000000000000000e+01 1.835041956516603808e-11 8.591808029175972240e-13 5.401529598142638463e-14 1.504379891128794896e-15
9.100000000000000000e+01 1.833526787406236904e-11 8.703849866246863256e-13 5.542151837685432566e-14 1.567170497459651631e-15
9.200000000000000000e+01 1.831958972000480425e-11 8.816311402815934269e-13 5.684524929937384542e-14 1.631265388644952345e-15
9.300000000000000000e+01 1.830342290742671434e-11 8.929174536750395038e-13 5.828608258755584090e-14 1.696645292870628871e-15
9.400000000000000000e+01 1.828680282916412172e-11 9.042420221753494097e-13 5.974359927725161026e-14 1.763289924281364396e-15
9.500000000000000000e+01 1.826976260354889945e-11 9.156028555828151103e-13 6.121736865737076493e-14 1.831178042432585392e-15
9.600000000000000000e+01 1.825233320444337299e-11 9.269978866198539591e-13 6.270694930525479378e-14 1.900287511541125779e-15
9.700000000000000000e+01 1.823454358453422714e-11 9.384249790697542593e-13 6.421189009937831036e-14 1.970595359335623870e-15
9.800000000000000000e+01 1.821642079219132263e-11 9.498819355641648183e-13 6.573173120740329419e-14 2.042077835325214454e-15
9.900000000000000000e+01 1.819799008219045784e-11 9.613665050225703723e-13 6.726600504787895334e-14 2.114710468322117621e-15
1.000000000000000000e+02 1.817927502058703951e-11 9.728763897480849785e-13 6.881423722414231794e-14 2.188468123069967963e-15
